Name,Elevation (m),lat,lon
Große Arnspitze,2196,47.3973362,11.2223256
Hochkalter,2608,47.5693262,12.8658126
Hochplatte,2082,47.5522729,10.8420527
Kreuzspitze,2184,47.5265671,10.9180158
Krottenkopf,2086,47.5443752,11.1914281
Zugspitze,2962,47.421215,10.986297
Soiernspitze,2253,47.4815666,11.3571077
Bockkarkopf,2609,47.2921766,10.2877037
Leutascher Dreitorspitze,2682,47.4004814,11.1239474
Hochfrottspitze,2649,47.2969091,10.2930007
Westliche Karwendelspitze,2385,47.4300189,11.298858
Südliches Höllhorn,2145,47.35827,10.38663
Mädelegabel,2644,47.2999249,10.2956802
Rauheck,2385,47.3447112,10.368148
Rotgundspitze,2485,47.2881103,10.265806
Schneefernerkopf,2874,47.4095968,10.9699595
Osterfelderkopf,2060,47.4386941,11.049713
Alpspitze,2628,47.4294968,11.0478118
Walser Hammerspitze,2170,47.3264552,10.1995502
Nebelhorn,2224,47.4218727,10.3423461
Frieder,2053,47.5217533,10.9595715
Friederspitz,2049,47.5171414,10.9588323
Schellschlicht,2052,47.5092999,10.9163331
Kuchelbergspitze,2020,47.5414219,10.9425313
Kuchelbergkopf,2026,47.5349169,10.9254312
Großer Daumen,2280,47.4415982,10.3755228
Schöttelkarspitze,2050,47.4940798,11.3298011
Unknown,2285,47.311405,10.214009
Nördlicher Schafalpenkopf,2320,47.3105646,10.2166035
Kemptner Kopf,2191,47.2975067,10.1990974
Frauenalpl,2202,47.4142547,11.1175579
Bernadeinkopf,2144,47.4310847,11.0603371
Geißhorn,2366,47.28786,10.175332
Nördliche Linderspitze,2372,47.4279802,11.2930554
Unknown,2048,47.3098962,10.3377599
Hocheck,2651,47.558423,12.9237899
Kreuzspitze,2367,47.38394,10.43089
Kreuzkopf,2287,47.3846,10.41966
Vorderer Wilder,2240,47.3780492,10.4114125
Großer Wilder,2379,47.37022,10.38904
Kratzer,2427,47.30642,10.31748
Hochgehrenspitze,2251,47.3212941,10.207004
Kastenkopf,2129,47.4318938,10.4715051
Grüner Kopf,2212,47.3541808,10.3818123
Knappenkopf,2071,47.4430829,10.4731457
Fuchskarspitze,2314,47.39108,10.4291
Nördliche Fuchskarspitze,2252,47.39652,10.43043
Kleiner Wanner,2548,47.3963394,11.0397076
Großer Archenkopf,2391,47.5866422,13.0699972
Zugspitzeck,2815,47.4175695,10.9723451
Lärchwand,2186,47.40684,10.43742
Obere Wettersteinspitze,2297,47.4269594,11.1910129
Watzmann-Mittelspitze,2713,47.5543889,12.9220342
Tiefkarspitze,2430,47.4377328,11.3212433
Brunnsteinspitze,2180,47.4056113,11.2872676
Großer Hundstod,2593,47.5127249,12.8849252
Schottmalhorn,2045,47.6132271,12.8298043
Entschenkopf,2043,47.4365673,10.3313126
Krähe,2010,47.5527964,10.8252366
Sechszinkenspitze,2213,47.2965653,10.1942681
Hahnenköpfle,2082,47.35783,10.10215
Oberer Rißkopf,2049,47.5488775,11.1852668
Bischof,2033,47.5404528,11.1757851
Rappenseekopf,2469,47.2809839,10.2548226
Fürschießer,2271,47.32824,10.32983
Muttlerkopf,2368,47.3144134,10.3412333
Höfats Zweiter Gipfel,2258,47.3672021,10.3494627
Westlicher Wengenkopf,2235,47.42284,10.35032
Östlicher Wengenkopf,2207,47.42647,10.36175
Rotspitz,2034,47.4595011,10.369341
Kleiner Daumen,2197,47.4470862,10.3861731
Liechelkopf,2384,47.296087,10.179743
Glasfelderkopf,2270,47.4029,10.43161
Watzmann-Südspitze,2712,47.5480306,12.9169564
Hirschwiese,2114,47.5295856,12.916452
Kanzelwand,2058,47.3347816,10.2077026
Stuhljoch,2446,47.4898784,12.9672187
Östliche Karwendelspitze,2537,47.4448563,11.421433
Großer Schneiber,2330,47.5106761,12.9115931
Hocheck,2230,47.4829148,12.9965197
Wildpalfen,2236,47.4969696,13.0377259
Fagstein,2164,47.5488385,13.0309162
Lafeldkopf,2074,47.5345871,13.0237221
Gjaidkopf,2268,47.5163295,12.9109261
Graskopf,2094,47.5200228,12.9069035
Steintalhörnl,2468,47.5596884,12.854934
Hinterbergkopf,2247,47.5513535,12.8528061
Schärtenspitze,2153,47.5822,12.8746816
Kleiner Watzmann,2307,47.5588894,12.9424556
Griesspitze,2257,47.5436716,12.9036638
Hachelkopf,2066,47.5308097,12.9341041
Laubwand,2312,47.4764177,13.0185196
Großer Waxenstein,2276,47.4462043,11.0232944
Kleiner Waxenstein,2136,47.446679,11.0301167
Hinterer Waxenstein,2268,47.4439368,11.0174743
Nördliche Riffelspitze,2242,47.4388036,11.005791
Südliche Riffelspitze,2262,47.437218,11.0037847
Große Riffelwandspitze,2625,47.4282738,10.9924798
Kleine Riffelwandspitze,2543,47.4293162,10.996723
Riffeltorkopf,2230,47.4350764,10.9983071
Mittlere Höllentalspitze,2740,47.4206907,11.0198273
Innere Höllentalspitze,2741,47.4184937,11.0105717
Brunntalkopf,2260,47.4108271,11.016792
Äußere Höllentalspitze,2715,47.4209398,11.027893
Vollkarspitze,2630,47.4217228,11.034696
Blassenspitze,2420,47.4219531,11.0545854
Östliche Plattspitze,2680,47.3964573,10.9926825
Hochscheibe,2460,47.4885095,12.9749907
Ebenhorn,2371,47.4933161,12.9752088
Wagendrischelhorn,2251,47.5988564,12.7917253
Unterer Plattelkopf,2106,47.6023921,12.7970507
Oberer Plattelkopf,2098,47.6054624,12.8028361
Reiter Steinberg,2060,47.6102587,12.8074181
Hohes Gerstfeld,2031,47.6120942,12.8245353
Rosentalhörnl,2110,47.4716921,13.003751
Feldernkopf,2071,47.4831655,11.3362025
Westliches Kirchl,2241,47.4307842,11.3035822
Kreuzwand,2130,47.4369645,11.3011712
Viererspitze,2054,47.437945,11.293681
Mittleres Kirchl,2211,47.4302026,11.3075093
Östliches Kirchl,2225,47.4303184,11.3097695
Westliche Larchetfleckspitze,2303,47.4304267,11.3113814
Östliche Larchetfleckspitze,2362,47.4307958,11.3134407
Bäralplkopf,2323,47.4468728,11.390339
Östliche Steinkarspitze,2015,47.4546499,11.4131303
Linkerskopf,2459,47.29093,10.26369
Wilder Mann,2577,47.287708,10.279934
Kleiner Rappenkopf,2276,47.28342,10.24396
Unknown,2073,47.2981718,10.2665222
Westlicher Berg der guten Hoffnung,2381,47.2979555,10.2854154
Trettachspitze,2595,47.30362,10.29545
Unknown,2279,47.3106812,10.2939821
Unknown,2328,47.3217691,10.3351478
Unknown,2385,47.32032,10.33937
Hielesköpfle,2248,47.3399245,10.3525988
Unknown,2017,47.37005,10.34466
Gieseler Wand,2020,47.3729,10.34246
Kleine Höfats,2073,47.36807,10.35452
Wildengundkopf,2197,47.2881364,10.1835715
Angererkopf,2263,47.2939,10.18548
Haldenwanger Kopf,2002,47.27507,10.17348
Rossgundkopf,2139,47.31946,10.23356
Alpgundkopf,2177,47.32221,10.23758
Grießgundkopf,2164,47.3236352,10.239598
Rossgundturm,2066,47.31674,10.23614
Kälbelespitze,2135,47.4316,10.47539
Wiedemerkopf,2163,47.39012,10.41699
Kammerlinghorn,2483,47.5450497,12.8327097
Schönangerspitze,2264,47.4421375,11.011646
Schneck,2268,47.3859171,10.382386
Himmeleck,2152,47.3824903,10.3839399
Schneck-Vorgipfel,2258,47.38483,10.38171
Seebichel,2111,47.2879221,10.2524866
Laufbacher Eck,2178,47.3935621,10.380816
Krummer Turm,2477,47.3199166,10.3432506
Gundkopf,2063,47.4193665,10.333058
Unknown,2023,47.41602,10.3513
Kleiner Seekopf,2096,47.40143,10.35639
Großer Seekopf,2085,47.40582,10.35473
Lachenkopf,2111,47.39483,10.37171
Balken,2172,47.38883,10.43009
Südliche Balkenspitze,2324,47.38555,10.4313394
Obere Gottesackerwände,2033,47.37617,10.11713
Pfannenhölzer,2029,47.44727,10.39847
Älpelekopf,2024,47.439,10.4549
Schänzlekopf,2070,47.4181469,10.4534522
Sattelkopf,2097,47.41355,10.43845
Kirchturm,2013,47.4360105,10.4739205
Salober,2088,47.39785,10.38808
Bergächtle,2007,47.40753,10.39445
Laufbichelkirche Südgipfel,2029,47.43185,10.38557
Heubatspitze,2008,47.4589308,10.3810226
Unknown,2150,47.4322302,10.3677778
Großer Wilder Nordgipfel,2370,47.37172,10.38791
Hinterer Wilder,2359,47.36719,10.38915
Westliche Törlspitze,2427,47.4126395,11.1301239
Wildengundkopf,2238,47.31284,10.29192
Blaueisspitze,2481,47.5720037,12.8694054
Steinberg,2065,47.585734,12.8776064
Kleinkalter,2513,47.5727411,12.8624286
Wimbachschneidspitze,2368,47.5461712,12.847869
Ofentalhörnl,2513,47.5625765,12.8614196
Schärtenwandkopf,2065,47.5841081,12.8613061
Schönwandeck,2450,47.5642609,12.8677725
Rotpalfen,2367,47.5786336,12.8621648
Hocheishörndl,2252,47.5546387,12.8316752
Eislhörndl,2095,47.5583201,12.8357131
Vorderberghörndl,2083,47.558802,12.8284226
Hinterberghorn,2493,47.5509169,12.8391498
Kleines Palfenhorn,2073,47.5323307,12.8706562
1. Watzmannkind,2247,47.5537381,12.9378171
3. Watzmannkind,2209,47.5519243,12.9339669
4. Watzmannkind,2270,47.5527479,12.9328971
5. Watzmannkind,2225,47.5526978,12.9309994
Reinersberg,2171,47.5570403,13.048298
Hochsäul,2073,47.514663,13.0275981
Windschartenkopf,2211,47.5502715,13.0446421
Schloßkopf,2139,47.4812326,13.0243806
Krottenkopf Ostgipfel,2008,47.5445909,11.1992896
Lahnerkopf,2121,47.4291531,10.4628248
Unknown,2119,47.3959029,10.3851082
Bramasofenkopf,2147,47.5051969,13.041245
Hüttenkopf,2208,47.295291,10.192541
Vordere Schlichtenkarspitze,2356,47.4475351,11.3987822
Mittlere Linderspitze,2239,47.4254602,11.290907
Gerberkreuz,2303,47.4270819,11.2870608
Schafreuter,2102,47.509013,11.4876
Zwölferkopf,2226,47.4464989,11.02611
Schochen,2100,47.3941679,10.3605812
Rotkopf Südgipfel,2183,47.3896684,10.3814937
Rotkopf,2194,47.39102,10.38124
Rotkopf Nordgipfel,2188,47.3920853,10.3813528
Unknown,2011,47.4019374,10.3898753
Sulzleklammspitze,2321,47.4186732,11.2926087
Bergl,2272,47.4238952,11.0052221
Großer Kirchturm,2514,47.4165238,11.0306086
Hochblassen,2706,47.4223964,11.0444402
Hoher Gaif,2288,47.4223324,11.0633797
Rotwandlspitze,2192,47.4066196,11.2882158
Hochwanner,2744,47.3959556,11.0553604
Gumpenkarspitze,2010,47.4920061,11.3610059
Soiernschneid,2174,47.4816121,11.3424194
Krapfenkarspitze,2110,47.4935477,11.3690903
Großes Mühlsturzhorn,2234,47.59058,12.7978323
Kleines Mühlsturzhorn,2141,47.5913873,12.8015976
Knittelhorn,2015,47.5952828,12.8098121
Großes Grundübelhorn,2096,47.5925701,12.8060459
Kleines Grundübelhorn,2084,47.5937287,12.8082407
Höllentorkopf,2150,47.4381568,11.047341
Riffelköpfe,2389,47.4296521,11.0001335
Kleines Teufelshorn,2283,47.4868317,13.0315637
Vorderer Kragenkopf,2173,47.5205032,13.0460473
Hocheisspitze,2523,47.5468447,12.84264
Funtenseetauern,2578,47.4850145,12.9767787
Großes Teufelshorn,2362,47.4891572,13.0362619
Scharnitzspitze,2461,47.3957891,11.1118219
Kareck,2046,47.54834,11.1798299
Öfnerspitze,2576,47.3175062,10.3487798
Gamskarköpfl,2031,47.5089561,12.9205349
Ofentalhörndl,2513,47.5625765,12.8614196
Karlkopf,2195,47.5460878,12.8221541
Steinberg,2026,47.5873106,12.8762366
Oberreintalturm,2014,47.4028245,11.104952
2. Watzmannkind,2232,47.5531398,12.9353854
Lablkopf,2015,47.5542784,12.9433972
Hoher Göll,2522,47.5939262,13.0671406
Stadelhorn,2286,47.5931666,12.7953337
Ledererkopf,2050,47.485745,12.9610979
"Partenkirchner Dreitorspitze, Mittelgipfel",2622,47.4081217,11.1239416
"Partenkirchner Dreitorspitze, Nordostgipfel",2626,47.4091248,11.1256736
Östliche Törlspitze,2444,47.4127386,11.1353612
Höfats Ostgipfel,2258,47.3661458,10.350553
Kirchl,2050,47.44741,10.39354
Pflughörndl,2047,47.596405,13.0527859
Frauenalplspitz,2369,47.4150815,11.1280779
Frauenalplkopf,2351,47.4166877,11.1277051
Signalkuppe,2486,47.410641,11.1264927
Bayerländerturm,2507,47.4099632,11.1265424
Schossenkopf,2106,47.5176763,13.0353451
Grauer Kopf,2054,47.5173821,13.0289044
Kopf des Hunds,2012,47.5737113,12.8755931
Hocheiskopf,2495,47.5455209,12.8384593
Kleiner Kirchturm,2368,47.414342,11.0308341
Unknown,2053,47.3433,10.34615
Jungfernkarkopf,2355,47.4017931,11.0724993
Falkenberg,2003,47.36145,10.35144
Höfats Mittelgipfel,2257,47.3664,10.35014
Feldernkreuz,2048,47.491995,11.3287726
Hohes Brett,2340,47.5843857,13.0496897
Unknown,2028,47.3127055,10.2277155
Toreck,2016,47.37649,10.12894
Reißende Lahnspitz,2209,47.4802879,11.3443547
Drei Scharten,2304,47.4177816,11.1484033
Sattelköpfle,2021,47.413656,10.434995
Kleiner Hundsstallkopf,2338,47.4023869,11.0830808
Hirschbichlkopf,2276,47.4172061,11.140303
Untere Wettersteinspitze,2151,47.4280299,11.1991612
Predigtstuhl,2004,47.6049327,12.8099509
Teufelskopf,2440,47.3943412,11.1002872
Kirchlespitze,2301,47.4155275,11.2928413
Laufbichelkirche,2042,47.43336,10.38439
Auf dem Falken,2088,47.445047,10.3909421
Schafberg,2264,47.32632,10.32892
Unknown,2052,47.5095729,10.9161796
Schänzlespitz,2052,47.4232331,10.4563733
Unknown,2176,47.4446673,10.3837599
Mittlere Balkenspitze,2315,47.386593,10.431625
Unknown,2159,47.421947,10.3365255
Unknown,2014,47.4355581,10.3305883
Unknown,2218,47.4383,10.37675
Unknown,2150,47.4344466,10.3697301
Unknown,2127,47.42934,10.36425
Unknown,2184,47.4255468,10.3597292
Unknown,2177,47.4247193,10.3580422
Unknown,2186,47.4247239,10.3551373
Unknown,2194,47.4241676,10.3533429
Unknown,2214,47.4222228,10.3450068
Unknown,2032,47.43306,10.46286
Unknown,2379,47.3335777,10.3566516
Unknown,2336,47.3303209,10.3537455
Unknown,2393,47.3152446,10.3465729
Himmelhorn,2111,47.381963,10.3761505
Unknown,2291,47.305908,10.209781
Unknown,2289,47.311228,10.212451
Unknown,2023,47.277664,10.173189
Höfats Westgipfel,2257,47.36712,10.34845
Unknown,2330,47.279311,10.249325
Gratkopf,2172,47.43581,10.37313
Alpkopf,2102,47.3196564,10.2410107
Teufelsgrat,2648,47.3958358,11.0837236
Oberreintaldom,2371,47.4060619,11.1151897
Unterer Schüsselkarturm,2135,47.4001811,11.1109756
Nördliche Balkenspitze,2270,47.3875081,10.4313449
Krottenspitze,2551,47.3197905,10.3448279
Krummenstein,2088,47.32936,10.3217
Unknown,2005,47.4138914,10.3503549
Unknown,2120,47.31438,10.22496
Saubuckelkopf,2215,47.31423,10.22046
Östlicher Berg der guten Hoffnung,2415,47.29784,10.28743
Unknown,2072,47.32612,10.34391
Auf dem Hohen Bichel,2131,47.43878,10.38011
Großer Daumen Ostgipfel,2273,47.44237,10.38055
Unknown,2530,47.288035,10.276966
Sonnenberg,2029,47.37615,10.1262
Unknown,2035,47.2808885,10.1814553
Unknown,2270,47.309267,10.2967214
Höhlenkopf,2403,47.400017,11.0615952
Unknown,2782,47.4165622,10.9710116
Unknown,2041,47.360784,10.09723
Unknown,2066,47.359875,10.097628
Unknown,2010,47.39426,10.36572
Unknown,2222,47.386794,10.418388
Unknown,2625,47.4266791,10.9907164
Unknown,2191,47.4461109,10.3855562
